time_start,model,launch_place,regiune_standard,target_main,target,ora_lansarii,este_sezon_rece,este_noapte,distanta_front_km,scor_infrastructura,vreme_severa,atac
2025-04-22 02:56:00,Iskander-M/KN-23,Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Millerovo and Shatalovo,Donetsk oblast,Poltava oblast,Odesa oblast,2,0,1,177.16,4.8,1,0
2025-08-29 08:33:00,Iskander-M/KN-23,Primorsko-Akhtarsk and Oryol oblast and Millerovo,Volyn oblast,Kharkiv oblast and Poltava oblast,Ukraine,8,0,0,416.73,2.3,0,1
2025-03-11 05:48:00,Iskander-M/KN-23,"Kursk oblast and Oryol oblast and Millerovo and Zaporizhzhia oblast, Prymorsk",Cherkasy oblast,Kyiv oblast,Ukraine,5,1,1,5.0,9.8,1,1
2025-08-12 11:36:00,Iskander-M/KN-23,Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Oryol oblast,Ivano-Frankivsk oblast,Kyiv oblast and Kharkiv oblast and Dnipropetrovsk oblast and Vinnytsia oblast and Odesa oblast,Ukraine,11,1,0,199.06,5.9,0,1
2025-04-05 09:59:00,Iskander-M/KN-23,Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo,Zhytomyr oblast,Starokostiantyniv,Odesa oblast,9,1,0,496.07,8.6,0,0
2025-02-20 06:27:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Bryansk oblast and Millerovo and Shatalovo and Hvardiiske, Crimea",Zaporizhzhia oblast,Kharkiv oblast and Poltava oblast,Odesa oblast,6,1,0,463.82,4.7,1,0
2025-01-26 22:53:00,Shahed-136/131,Kursk oblast and Millerovo and Shatalovo,Rivne oblast,Kyiv oblast and Dnipropetrovsk oblast and Poltava oblast,Odesa oblast,22,1,1,328.35,9.5,0,0
2025-10-30 03:48:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Bryansk oblast and Millerovo",Odesa oblast,Kremenchuk,Ukraine,3,1,1,146.98,3.8,0,1
2025-12-31 23:59:00,Shahed-136/131,Kursk oblast and Millerovo,Khmelnytskyi oblast,Kyiv,Ukraine,23,1,1,5.0,9.7,1,0
2025-12-02 08:05:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Oryol oblast and Bryansk oblast and Millerovo",Zaporizhzhia oblast,Lviv oblast and Ternopil oblast and Kharkiv oblast,Ukraine,8,0,0,5.0,5.8,1,1
2026-01-01 20:14:00,Iskander-M/KN-23,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Hvardiiske, Crimea and Donetsk oblast",Ternopil oblast,Dnipropetrovsk oblast,Ukraine,20,1,0,68.32,6.1,1,1
2026-01-20 10:00:00,Iskander-M/KN-23,Kursk oblast and Bryansk oblast and Oryol oblast,Kyiv (Oraș),Kyiv oblast and Dnipropetrovsk oblast and Poltava oblast,Odesa oblast,10,1,0,176.47,9.8,0,1
2025-02-06 04:35:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Millerovo,Ivano-Frankivsk oblast,Starokostiantyniv,Ukraine,4,0,1,112.43,3.2,0,0
2025-12-31 23:59:00,Iskander-M/KN-23,Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo,Dnipropetrovsk oblast,front line,Ukraine,23,0,1,5.0,10.0,1,0
